"fdc_id","data_type","description","food_category_id","publication_date"
"167702","sr_legacy_food","Oil, flaxseed, cold pressed","4","2019-04-01"
"167742","sr_legacy_food","Mollusks, scallop, (bay and sea), cooked, steamed","15","2019-04-01"
"167750","sr_legacy_food","Prickly pears, raw","9","2019-04-01"
"167754","sr_legacy_food","Pummelo, raw","9","2019-04-01"
"167755","sr_legacy_food","Raspberries, raw","9","2019-04-01"
"167760","sr_legacy_food","Sapote, mamey, raw","9","2019-04-01"
"167761","sr_legacy_food","Soursop, raw","9","2019-04-01"
"167762","sr_legacy_food","Strawberries, raw","9","2019-04-01"
"167783","sr_legacy_food","Rowal, raw","9","2019-04-01"
"167791","sr_legacy_food","Horned melon (Kiwano)","9","2019-04-01"
"167844","sr_legacy_food","Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted","10","2019-04-01"
"167863","sr_legacy_food","Pork, fresh, variety meats and by-products, liver, cooked, braised","10","2019-04-01"
"167903","sr_legacy_food","Pork, fresh, ground, cooked","10","2019-04-01"
"168153","sr_legacy_food","Kiwifruit, green, raw","9","2019-04-01"
"168162","sr_legacy_food","Plums, dried (prunes), uncooked","9","2019-04-01"
"168165","sr_legacy_food","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","9","2019-04-01"
"168168","sr_legacy_food","Rhubarb, frozen, uncooked","9","2019-04-01"
"168170","sr_legacy_food","Roselle, raw","9","2019-04-01"
"168192","sr_legacy_food","Durian, raw or frozen","9","2019-04-01"
"168195","sr_legacy_food","Clementines, raw","9","2019-04-01"
"168202","sr_legacy_food","Apples, raw, golden delicious, with skin","9","2019-04-01"
"168377","sr_legacy_food","Pork loin, fresh, backribs, bone-in, cooked-roasted, lean only","10","2019-04-01"
"168390","sr_legacy_food","Asparagus, cooked, boiled, drained","11","2019-04-01"
"168411","sr_legacy_food","Edamame, frozen, prepared","11","2019-04-01"
"168412","sr_legacy_food","Endive, raw","11","2019-04-01"
"168413","sr_legacy_food","Escarole, cooked, boiled, drained, no salt added","11","2019-04-01"
"168438","sr_legacy_food","Mustard spinach, (tendergreen), raw","11","2019-04-01"
"168447","sr_legacy_food","Pumpkin leaves, cooked, boiled, drained, without salt","11","2019-04-01"
"168455","sr_legacy_food","Rutabagas, cooked, boiled, drained, without salt","11","2019-04-01"
"168483","sr_legacy_food","Sweet potato, cooked, baked in skin, flesh, without salt","11","2019-04-01"
"168488","sr_legacy_food","Taro leaves, cooked, steamed, without salt","11","2019-04-01"
"168490","sr_legacy_food","Arrowroot, raw","11","2019-04-01"
"168499","sr_legacy_food","Mung beans, mature seeds, sprouted, cooked, boiled, drained, with salt","11","2019-04-01"
"168506","sr_legacy_food","Beets, cooked, boiled. drained, with salt","11","2019-04-01"
"168508","sr_legacy_food","Beet greens, cooked, boiled, drained, with salt","11","2019-04-01"
"168510","sr_legacy_food","Broccoli, cooked, boiled, drained, with salt","11","2019-04-01"
"168517","sr_legacy_food","Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt","11","2019-04-01"
"168521","sr_legacy_food","Cauliflower, frozen, cooked, boiled, drained, with salt","11","2019-04-01"
"168523","sr_legacy_food","Collards, cooked, boiled, drained, with salt","11","2019-04-01"
"168535","sr_legacy_food","Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with salt","11","2019-04-01"
"168537","sr_legacy_food","Mushrooms, white, cooked, boiled, drained, with salt","11","2019-04-01"
"168540","sr_legacy_food","Corn, sweet, white, cooked, boiled, drained, with salt","11","2019-04-01"
"168569","sr_legacy_food","Hearts of palm, canned","11","2019-04-01"
"168571","sr_legacy_food","Nopales, raw","11","2019-04-01"
"168583","sr_legacy_food","Wasabi, root, raw","11","2019-04-01"
"168588","sr_legacy_food","Nuts, almond butter, plain, without salt added","12","2019-04-01"
"168590","sr_legacy_food","Nuts, chestnuts, japanese, roasted","12","2019-04-01"
"168598","sr_legacy_food","Nuts, macadamia nuts, dry roasted, with salt added","12","2019-04-01"
"168626","sr_legacy_food","Beef, variety meats and by-products, liver, cooked, braised","13","2019-04-01"
"168665","sr_legacy_food","Beef, brisket, whole, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised","13","2019-04-01"
"168667","sr_legacy_food","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised","13","2019-04-01"
"168727","sr_legacy_food","Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled","13","2019-04-01"
"169086","sr_legacy_food","Litchis, raw","9","2019-04-01"
"169088","sr_legacy_food","Loganberries, frozen","9","2019-04-01"
"169092","sr_legacy_food","Melons, cantaloupe, raw","9","2019-04-01"
"169097","sr_legacy_food","Oranges, raw, all commercial varieties","9","2019-04-01"
"169105","sr_legacy_food","Tangerines, (mandarin oranges), raw","9","2019-04-01"
"169118","sr_legacy_food","Pears, raw","9","2019-04-01"
"169124","sr_legacy_food","Pineapple, raw, all varieties","9","2019-04-01"
"169131","sr_legacy_food","Plantains, yellow, baked","9","2019-04-01"
"169236","sr_legacy_food","Jerusalem-artichokes, raw","11","2019-04-01"
"169243","sr_legacy_food","Mushrooms, portabella, grilled","11","2019-04-01"
"169247","sr_legacy_food","Lettuce, cos or romaine, raw","11","2019-04-01"
"169250","sr_legacy_food","Lotus root, raw","11","2019-04-01"
"169271","sr_legacy_food","Pumpkin flowers, cooked, boiled, drained, without salt","11","2019-04-01"
"169276","sr_legacy_food","Radishes, raw","11","2019-04-01"
"169309","sr_legacy_food","Taro shoots, cooked, without salt","11","2019-04-01"
"169311","sr_legacy_food","Artichokes, (globe or french), cooked, boiled, drained, with salt","11","2019-04-01"
"169321","sr_legacy_food","Beans, snap, green, cooked, boiled, drained, with salt","11","2019-04-01"
"169332","sr_legacy_food","Brussels sprouts, frozen, cooked, boiled, drained, with salt","11","2019-04-01"
"169341","sr_legacy_food","Celeriac, cooked, boiled, drained, with salt","11","2019-04-01"
"169343","sr_legacy_food","Chard, swiss, cooked, boiled, drained, with salt","11","2019-04-01"
"169351","sr_legacy_food","Dandelion greens, cooked, boiled, drained, with salt","11","2019-04-01"
"169352","sr_legacy_food","Eggplant, cooked, boiled, drained, with salt","11","2019-04-01"
"169355","sr_legacy_food","Kale, cooked, boiled, drained, with salt","11","2019-04-01"
"169357","sr_legacy_food","Kohlrabi, cooked, boiled, drained, with salt","11","2019-04-01"
"169385","sr_legacy_food","Fennel, bulb, raw","11","2019-04-01"
"169399","sr_legacy_food","Fireweed, leaves, raw","11","2019-04-01"
"169401","sr_legacy_food","Yautia (tannier), raw","11","2019-04-01"
"169415","sr_legacy_food","Seeds, pumpkin and squash seed kernels, roasted, with salt added","12","2019-04-01"
"169417","sr_legacy_food","Seeds, sunflower seed kernels from shell, dry roasted, with salt added","12","2019-04-01"
"169421","sr_legacy_food","Nuts, cashew nuts, dry roasted, with salt added","12","2019-04-01"
"169426","sr_legacy_food","Nuts, pistachio nuts, dry roasted, with salt added","12","2019-04-01"
"169448","sr_legacy_food","Beef, variety meats and by-products, heart, cooked, simmered","13","2019-04-01"
"169450","sr_legacy_food","Beef, variety meats and by-products, kidneys, cooked, simmered","13","2019-04-01"
"169556","sr_legacy_food","Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled","13","2019-04-01"
"169910","sr_legacy_food","Mangos, raw","9","2019-04-01"
"169911","sr_legacy_food","Melons, honeydew, raw","9","2019-04-01"
"169926","sr_legacy_food","Papayas, raw","9","2019-04-01"
"169928","sr_legacy_food","Peaches, yellow, raw","9","2019-04-01"
"169941","sr_legacy_food","Persimmons, japanese, raw","9","2019-04-01"
"169974","sr_legacy_food","Burdock root, raw","11","2019-04-01"
"169975","sr_legacy_food","Cabbage, raw","11","2019-04-01"
"169981","sr_legacy_food","Cardoon, raw","11","2019-04-01"
"169985","sr_legacy_food","Cassava, raw","11","2019-04-01"
"169988","sr_legacy_food","Celery, raw","11","2019-04-01"
"169992","sr_legacy_food","Chicory greens, raw","11","2019-04-01"
"170000","sr_legacy_food","Onions, raw","11","2019-04-01"
"170005","sr_legacy_food","Onions, spring or scallions (includes tops and bulb), raw","11","2019-04-01"
"170009","sr_legacy_food","Parsnips, cooked, boiled, drained, without salt","11","2019-04-01"
"170062","sr_legacy_food","Turnip greens and turnips, frozen, cooked, boiled, drained, without salt","11","2019-04-01"
"170066","sr_legacy_food","Waterchestnuts, chinese, (matai), raw","11","2019-04-01"
"170076","sr_legacy_food","Dock, raw","11","2019-04-01"
"170078","sr_legacy_food","Eppaw, raw","11","2019-04-01"
"170093","sr_legacy_food","Potatoes, baked, flesh and skin, without salt","11","2019-04-01"
"170097","sr_legacy_food","Mushrooms, shiitake, cooked, with salt","11","2019-04-01"
"170098","sr_legacy_food","Okra, cooked, boiled, drained, with salt","11","2019-04-01"
"170102","sr_legacy_food","Peas, green, cooked, boiled, drained, with salt","11","2019-04-01"
"170108","sr_legacy_food","Peppers, sweet, red, raw","11","2019-04-01"
"170125","sr_legacy_food","Squash, summer, all varieties, cooked, boiled, drained, with salt","11","2019-04-01"
"170128","sr_legacy_food","Squash, winter, acorn, cooked, baked, with salt","11","2019-04-01"
"170130","sr_legacy_food","Squash, winter, butternut, cooked, baked, with salt","11","2019-04-01"
"170139","sr_legacy_food","Turnip greens, cooked, boiled, drained, with salt","11","2019-04-01"
"170148","sr_legacy_food","Seeds, hemp seed, hulled","12","2019-04-01"
"170151","sr_legacy_food","Seeds, sesame seeds, whole, roasted and toasted","12","2019-04-01"
"170169","sr_legacy_food","Nuts, coconut meat, raw","12","2019-04-01"
"170182","sr_legacy_food","Nuts, pecans","12","2019-04-01"
"170187","sr_legacy_food","Nuts, walnuts, english","12","2019-04-01"
"170189","sr_legacy_food","Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)","12","2019-04-01"
"170382","sr_legacy_food","Broccoli raab, cooked","11","2019-04-01"
"170392","sr_legacy_food","Cabbage, kimchi","11","2019-04-01"
"170393","sr_legacy_food","Carrots, raw","11","2019-04-01"
"170402","sr_legacy_food","Chayote, fruit, raw","11","2019-04-01"
"170416","sr_legacy_food","Parsley, fresh","11","2019-04-01"
"170432","sr_legacy_food","Pokeberry shoots, (poke), raw","11","2019-04-01"
"170457","sr_legacy_food","Tomatoes, red, ripe, raw, year round average","11","2019-04-01"
"170481","sr_legacy_food","Borage, raw","11","2019-04-01"
"170503","sr_legacy_food","Mustard greens, cooked, boiled, drained, with salt","11","2019-04-01"
"170509","sr_legacy_food","Peas, edible-podded, cooked, boiled, drained, with salt","11","2019-04-01"
"170531","sr_legacy_food","Spinach, cooked, boiled, drained, with salt","11","2019-04-01"
"170539","sr_legacy_food","Squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt","11","2019-04-01"
"170543","sr_legacy_food","Taro, cooked, with salt","11","2019-04-01"
