"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"1298704","167702","1106","0","0","","","","","",""
"1298707","167702","1185","9.3","1","1","","","","",""
"1298711","167702","1089","0","1","1","","","","",""
"1298712","167702","1090","0","1","1","","","","",""
"1298714","167702","1093","0","1","1","","","","",""
"1298715","167702","1098","0","1","1","","","","",""
"1298716","167702","1101","0","1","1","","","","",""
"1298743","167702","1109","0.47","1","1","","","","",""
"1298749","167702","1311","0.031","1","1","","","","",""
"1298767","167702","1269","14.327","0","","","","","",""
"1298768","167702","1270","53.368","0","","","","","",""
"1298772","167702","1051","0.12","1","1","","","","",""
"1298773","167702","1087","1","1","1","","","","",""
"1298774","167702","1092","0","1","1","","","","",""
"1298775","167702","1095","0.07","1","1","","","","",""
"1298776","167702","1180","0.2","0","35","","","","",""
"1298785","167702","1114","0","0","68","","","","",""
"1298786","167702","1103","0","0","68","","","","",""
"1298790","167702","1167","0","0","","","","","",""
"1298791","167702","1175","0","0","","","","","",""
"1298802","167702","1162","0","0","","","","","",""
"1298803","167702","1165","0","0","","","","","",""
"1298804","167702","1166","0","0","","","","","",""
"1298805","167702","1177","0","0","","","","","",""
"1298806","167702","1178","0","0","","","","","",""
"1301637","167742","1089","0.58","0","57","","","","",""
"1301638","167742","1090","37","0","57","","","","",""
"1301640","167742","1093","667","0","57","","","","Samples were obtained from 12 retail stores using a probability-based sampling plan.  Some fish had been treated during processing to retain moisture on thawing.  Untreated fish = 265 mg sodium/100g.",""
"1301641","167742","1098","0.033","0","57","","","","",""
"1301642","167742","1101","0.029","0","57","","","","",""
"1301645","167742","1106","2","0","57","","","","",""
"1301649","167742","1114","0","0","57","","","","",""
"1301655","167742","1162","0","0","57","","","","",""
"1301656","167742","1165","0.012","0","57","","","","",""
"1301657","167742","1166","0.024","0","57","","","","",""
"1301658","167742","1177","20","0","57","","","","",""
"1301659","167742","1178","2.15","0","57","","","","",""
"1301661","167742","1185","0","0","57","","","","",""
"1301688","167742","1051","70.25","0","57","","","","",""
"1301692","167742","1087","10","0","57","","","","",""
"1301693","167742","1092","314","0","57","","","","",""
"1301694","167742","1095","1.55","0","57","","","","",""
"1301695","167742","1103","21.7","0","57","","","","",""
"1301696","167742","1109","0","0","57","","","","",""
"1301703","167742","1167","1.076","0","57","","","","",""
"1301704","167742","1170","0.366","0","57","","","","",""
"1301705","167742","1175","0.112","0","57","","","","",""
"1301706","167742","1180","110.7","0","57","","","","",""
"1301727","167742","1269","0.014","0","57","","","","",""
"1301728","167742","1270","0.006","0","57","","","","",""
"1302622","167755","1180","12.3","0","","","","","",""
"1302631","167755","1269","0.249","2","","","","","",""
"1302632","167755","1270","0.126","2","","","","","",""
"1302639","167755","1092","151","12","1","93","206","","",""
"1302640","167755","1093","1","8","1","0","3","","",""
"1302641","167755","1162","26.2","10","1","11.2","37","","",""
"1302642","167755","1165","0.032","12","1","0.012","0.063","","",""
"1302646","167755","1178","0","0","68","","","","",""
"1302649","167755","1114","0","0","68","","","","",""
"1302654","167755","1051","85.75","14","1","81.79","88.47","","",""
"1302658","167755","1087","25","11","1","19","32","","",""
"1302659","167755","1095","0.42","12","1","0.25","0.79","","",""
"1302660","167755","1103","0.2","2","1","0","0.4","","",""
"1302661","167755","1109","0.87","6","1","0.48","1.02","","",""
"1302667","167755","1167","0.598","12","1","0.403","0.92","","",""
"1302668","167755","1170","0.329","12","1","0.201","0.484","","",""
"1302669","167755","1175","0.055","12","1","0.036","0.074","","",""
"1302671","167755","1185","7.8","6","1","6.2","9.9","","",""
"1302672","167755","1166","0.038","12","1","0.02","0.06","","",""
"1302673","167755","1177","21","12","1","7","41","","",""
"1302679","167755","1106","2","0","","","","","",""
"1302682","167755","1098","0.09","12","1","0.032","0.156","","",""
"1302683","167755","1101","0.67","11","1","0.32","1.81","","",""
"1302687","167755","1089","0.69","12","1","0.46","1.08","","",""
"1302688","167755","1090","22","12","1","13","32","","",""
"1303183","167762","1101","0.386","73","1","0.16","0.74","","",""
"1303187","167762","1185","2.2","9","1","1.5","4.2","","",""
"1303193","167762","1170","0.125","12","1","0.071","0.146","","",""
"1303204","167762","1109","0.29","8","1","0.19","0.44","","",""
"1303216","167762","1175","0.047","12","1","0.03","0.08","","",""
"1303217","167762","1051","90.95","23","1","88.1","92.6","","",""
"1303218","167762","1095","0.14","74","1","0.06","0.59","","",""
"1303219","167762","1103","0.4","2","1","0.3","0.5","","",""
"1303220","167762","1167","0.386","12","1","0.247","0.53","","",""
"1303223","167762","1090","13","74","1","8","18","","",""
"1303227","167762","1098","0.048","70","1","0.013","0.145","","",""
"1303228","167762","1162","58.8","9","1","52.5","69.9","","",""
"1303229","167762","1165","0.024","12","1","0.007","0.044","","",""
"1303230","167762","1166","0.022","12","1","0.007","0.05","","",""
"1303231","167762","1177","24","3","1","19","30","","",""
"1303232","167762","1093","1","72","1","0","2","","",""
"1303233","167762","1092","153","76","1","77","207","","",""
"1303236","167762","1087","16","73","1","8","24","","",""
"1303242","167762","1180","5.7","0","","","","","",""
"1303251","167762","1269","0.09","2","","","","","",""
"1303252","167762","1270","0.065","2","","","","","",""
"1303267","167762","1089","0.41","77","1","0.11","0.8","","",""
"1303274","167762","1106","1","6","1","0","1","","",""
"1303277","167762","1178","0","0","68","","","","",""
"1303282","167762","1114","0","0","68","","","","",""
"1309846","167844","1185","0","0","18","","","","",""
"1309852","167844","1109","0.19","0","18","","","","",""
"1309865","167844","1106","2","0","49","","","","",""
"1309867","167844","1114","1.5","0","","","","","",""
"1309875","167844","1165","0.581","0","","","","","",""
"1309876","167844","1166","0.329","0","","","","","",""
"1309877","167844","1177","5","0","","","","","",""
"1309878","167844","1178","0.8","0","","","","","",""
"1309893","167844","1162","0.5","0","","","","","",""
"1309895","167844","1089","1.32","0","","","","","",""
"1309896","167844","1090","18","0","","","","","",""
"1309898","167844","1093","68","0","","","","","",""
"1309899","167844","1098","0.113","0","","","","","",""
"1309900","167844","1101","0.022","0","","","","","",""
"1309903","167844","1167","3.991","0","","","","","",""
"1309904","167844","1170","0.6","0","","","","","",""
"1309905","167844","1175","0.288","0","","","","","",""
"1309913","167844","1269","1.82","0","","","","","",""
"1309914","167844","1270","0.07","0","","","","","",""
"1309928","167844","1051","54.8","0","","","","","",""
"1309929","167844","1087","24","0","","","","","",""
"1309930","167844","1092","329","0","","","","","",""
"1309931","167844","1095","3.71","0","","","","","",""
"1309932","167844","1103","33.4","0","55","","","","",""
"1309935","167844","1180","80","0","14","","","","",""
"1311568","167863","1106","5405","6","","","","","",""
"1311569","167863","1167","8.435","0","","","","","",""
"1311570","167863","1170","4.774","0","","","","","",""
"1311571","167863","1175","0.57","0","","","","","",""
"1311575","167863","1051","64.32","0","","","","","",""
"1311576","167863","1087","10","0","","","","","",""
"1311577","167863","1092","150","0","","","","","",""
"1311578","167863","1095","6.72","0","","","","","",""
"1311594","167863","1269","0.42","0","","","","","",""
"1311595","167863","1270","0.04","0","","","","","",""
"1311603","167863","1089","17.92","0","","","","","",""
"1311604","167863","1090","14","0","","","","","",""
"1311606","167863","1093","49","0","","","","","",""
"1311607","167863","1098","0.634","0","","","","","",""
"1311608","167863","1101","0.3","0","","","","","",""
"1311610","167863","1162","23.6","6","","","","","",""
"1311611","167863","1165","0.258","0","","","","","",""
