"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"81878","167742","1","3","9999","","oz","85","","",""
"81897","167750","1","1","9999","","cup","149","","",""
"81903","167754","1","1","9999","","cup, sections","190","","",""
"81905","167755","1","1","9999","","cup","123","","",""
"81915","167760","1","1","9999","","cup 1"" pieces","175","3","",""
"81917","167761","1","1","9999","","cup, pulp","225","","",""
"81928","167762","10","1","9999","","NLEA serving","147","","",""
"81973","167783","1","0.5","9999","","cup","114","","",""
"81983","167791","1","1","9999","","cup","233","6","",""
"82078","167844","2","3","9999","","oz","85","","",""
"82113","167863","1","3","9999","","oz","85","","",""
"82191","167903","1","3","9999","","oz","85","","",""
"82568","168153","3","1","9999","","NLEA serving","148","","",""
"82598","168168","1","1","9999","","cup, diced","137","","",""
"82600","168170","1","1","9999","","cup, without refuse","57","","",""
"82635","168192","1","1","9999","","cup, chopped or diced","243","","",""
"82645","168195","1","1","9999","","fruit","74","32","",""
"82658","168202","3","1","9999","","medium","169","23","",""
"82988","168377","1","3","9999","","oz","85","","",""
"83018","168390","1","0.5","9999","","cup","90","","",""
"83053","168411","1","1","9999","","cup","155","2","",""
"83054","168412","1","0.5","9999","","cup, chopped","25","","",""
"83056","168413","1","1","9999","","cup","150","","",""
"83102","168438","1","1","9999","","cup, chopped","150","","",""
"83111","168447","1","1","9999","","cup","71","","",""
"83123","168455","1","1","9999","","cup, cubes","170","","",""
"83168","168483","1","1","9999","","cup","200","","",""
"83179","168488","1","1","9999","","cup","145","","",""
"83182","168490","1","1","9999","","cup, sliced","120","","",""
"83197","168499","1","1","9999","","cup","124","","",""
"83209","168506","1","0.5","9999","","cup slices","85","","",""
"83212","168508","1","1","9999","","cup (1"" pieces)","144","","",""
"83216","168510","4","1","9999","","stalk, small (5"" long)","140","","",""
"83228","168517","1","1","9999","","cup, shredded","170","","",""
"83236","168521","1","1","9999","","cup (1"" pieces)","180","","",""
"83238","168523","1","1","9999","","cup, chopped","190","","",""
"83256","168535","1","1","9999","","leek","124","","",""
"83260","168537","1","1","9999","","cup pieces","156","","",""
"83275","168540","4","1","9999","","cup cut","157","7","",""
"83344","168569","1","1","9999","","cup","146","","",""
"83348","168571","1","1","9999","","cup, sliced","86","","",""
"83368","168583","1","1","9999","","cup, sliced","130","","",""
"83375","168588","1","1","9999","","tbsp","16","","",""
"83378","168590","1","1","9999","","oz","28.35","","",""
"83393","168598","2","1","9999","","oz (10-12 kernels)","28.35","","",""
"83447","168626","1","3","9999","","oz","85","","",""
"83526","168665","1","3","9999","","oz","85","","",""
"83530","168667","1","3","9999","","oz","85","","",""
"83655","168727","1","3","9999","","oz","85","","",""
"84200","169086","1","1","9999","","cup","190","","",""
"84203","169088","1","1","9999","","cup, unthawed","147","","",""
"84216","169092","10","10","9999","","cantaloupe balls","138","","",""
"84230","169097","4","1","9999","","fruit (2-5/8"" dia)","131","","",""
"84250","169105","4","1","9999","","large (2-3/4"" dia)","120","4","",""
"84275","169118","4","1","9999","","medium","178","65","",""
"84289","169124","3","1","9999","","slice (4-2/3"" dia x 3/4"" thick)","166","11","",""
"84304","169131","1","1","9999","","cup","139","12","",""
"84490","169236","1","1","9999","","cup slices","150","","",""
"84501","169243","1","1","9999","","cup sliced","121","3","",""
"84510","169247","5","1","9999","","NLEA serving","85","","",""
"84525","169250","2","1","9999","","root (9-1/2"" long)","115","","",""
"84575","169271","1","1","9999","","cup","134","","",""
"84582","169276","1","1","9999","","cup slices","116","","",""
"84633","169309","1","1","9999","","cup slices","140","","",""
"84636","169311","2","0.5","9999","","cup hearts","84","","",""
"84651","169321","1","1","9999","","cup","125","","",""
"84662","169332","1","1","9999","","cup","155","","",""
"84676","169341","1","1","9999","","cup pieces","155","","",""
"84679","169343","1","1","9999","","cup, chopped","175","","",""
"84692","169351","1","1","9999","","cup, chopped","105","","",""
"84693","169352","1","1","9999","","cup (1"" cubes)","99","","",""
"84696","169355","1","1","9999","","cup","118","10","",""
"84698","169357","1","1","9999","","cup slices","165","","",""
"84767","169385","2","1","9999","","bulb","234","","",""
"84793","169399","1","1","9999","","cup, chopped","23","","",""
"84797","169401","1","1","9999","","cup, sliced","135","","",""
"84822","169415","2","1","9999","","oz","28.35","","",""
"84826","169417","2","1","9999","","oz","28.35","","",""
"84834","169421","2","1","9999","","oz","28.35","","",""
"84844","169426","2","1","9999","","oz (49 kernels)","28.35","","",""
"84889","169448","1","3","9999","","oz","85","","",""
"84892","169450","1","3","9999","","oz","85","","",""
"85100","169556","1","3","9999","","oz","85","","",""
"85651","169910","1","1","9999","","cup pieces","165","3","",""
"85658","169911","6","1","9999","","wedge (1/8 of 6"" to 7"" dia melon)","160","","",""
"85692","169926","1","1","9999","","cup 1"" pieces","145","3","",""
"85697","169928","1","1","9999","","cup slices","154","24","",""
"85724","169941","1","1","9999","","fruit (2-1/2"" dia)","168","","",""
"85789","169974","1","1","9999","","cup (1"" pieces)","118","","",""
"85791","169975","1","1","9999","","cup, chopped","89","","",""
"85812","169981","1","1","9999","","cup, shredded","178","","",""
"85816","169985","1","1","9999","","cup","206","","",""
"85824","169988","1","1","9999","","cup chopped","101","12","",""
"85836","169992","1","1","9999","","cup, chopped","29","","",""
"85855","170000","1","1","9999","","cup, chopped","160","","",""
"85878","170005","1","1","9999","","cup, chopped","100","","",""
"85888","170009","1","0.5","9999","","cup slices","78","","",""
"85982","170062","1","1","9999","","cup","163","","",""
"85987","170066","1","0.5","9999","","cup slices","62","","",""
"86007","170076","1","1","9999","","cup, chopped","133","","",""
"86008","170078","1","1","9999","","cup","100","","",""
"86027","170093","1","1","9999","","NLEA serving","148","","",""
"86035","170097","1","1","9999","","cup pieces","145","","",""
"86037","170098","1","0.5","9999","","cup slices","80","","",""
"86051","170102","1","1","9999","","cup","160","","",""
"86065","170108","4","1","9999","","large (2-1/4 per pound, approx 3-3/4"" long, 3"" dia.)","164","","",""
"86096","170125","1","1","9999","","cup slices","180","","",""
"86099","170128","1","1","9999","","cup, cubes","205","","",""
"86101","170130","1","1","9999","","cup, cubes","205","","",""
"86119","170139","1","1","9999","","cup, chopped","144","","",""
"86132","170148","1","3","9999","","tbsp","30","1","",""
"86137","170151","1","1","9999","","oz","28.35","","",""
"86165","170169","3","1","9999","","piece (2"" x 2"" x 1/2"")","45","","",""
"86190","170182","3","1","9999","","oz (19 halves)","28.35","","",""
"86206","170187","6","1","9999","","oz (14 halves)","28.35","","",""
"86210","170189","2","1","9999","","oz","28.35","","",""
"86538","170382","1","1","9999","","NLEA serving","85","","",""
"86554","170392","1","1","9999","","cup","150","","",""
"86555","170393","1","1","9999","","cup chopped","128","","",""
"86580","170402","1","1","9999","","cup (1"" pieces)","132","","",""
"86608","170416","2","1","9999","","tbsp","3.8","","",""
"86636","170432","1","1","9999","","cup","160","","",""
"86681","170457","1","1","9999","","cup cherry tomatoes","149","","",""
"86737","170481","1","1","9999","","cup (1"" pieces)","89","","",""
"86772","170503","1","1","9999","","cup, chopped","140","1","",""
"86780","170509","1","1","9999","","cup","160","","",""
