"fdc_id","NDB_number"
"167702","42231"
"167742","90240"
"167750","9287"
"167754","9295"
"167755","9302"
"167760","9314"
"167761","9315"
"167762","9316"
"167783","9428"
"167791","9451"
"167844","10071"
"167863","10111"
"167903","10220"
"168153","9148"
"168162","9291"
"168165","9298"
"168168","9309"
"168170","9311"
"168192","9422"
"168195","9433"
"168202","9501"
"168377","10981"
"168390","11012"
"168411","11212"
"168412","11213"
"168413","11214"
"168438","11274"
"168447","11419"
"168455","11436"
"168483","11508"
"168488","11521"
"168490","11697"
"168499","11718"
"168506","11734"
"168508","11736"
"168510","11742"
"168517","11754"
"168521","11762"
"168523","11768"
"168535","11795"
"168537","11797"
"168540","11902"
"168569","11961"
"168571","11963"
"168583","11990"
"168588","12195"
"168590","12204"
"168598","12632"
"168626","13326"
"168665","13804"
"168667","13810"
"168727","13930"
"169086","9164"
"169088","9167"
"169092","9181"
"169097","9200"
"169105","9218"
"169118","9252"
"169124","9266"
"169131","9278"
"169236","11226"
"169243","11243"
"169247","11251"
"169250","11254"
"169271","11417"
"169276","11429"
"169309","11523"
"169311","11702"
"169321","11723"
"169332","11746"
"169341","11763"
"169343","11765"
"169351","11782"
"169352","11783"
"169355","11790"
"169357","11793"
"169385","11957"
"169399","11985"
"169401","11991"
"169415","12516"
"169417","12536"
"169421","12585"
"169426","12652"
"169448","13322"
"169450","13324"
"169556","13951"
"169910","9176"
"169911","9184"
"169926","9226"
"169928","9236"
"169941","9263"
"169974","11104"
"169975","11109"
"169981","11122"
"169985","11134"
"169988","11143"
"169992","11152"
"170000","11282"
"170005","11291"
"170009","11299"
"170062","11577"
"170066","11588"
"170076","11616"
"170078","11618"
"170093","11674"
"170097","11798"
"170098","11803"
"170102","11811"
"170108","11821"
"170125","11857"
"170128","11864"
"170130","11866"
"170139","11891"
"170148","12012"
"170151","12024"
"170169","12104"
"170182","12142"
"170187","12155"
"170189","12166"
"170382","11097"
"170392","11118"
"170393","11124"
"170402","11149"
"170416","11297"
"170432","11350"
"170457","11529"
"170481","11613"
"170503","11799"
"170509","11809"
"170531","11854"
"170539","11870"
"170543","11878"
"170547","11889"
"170551","11897"
"170567","12061"
"170581","12120"
"170598","13340"
"170845","1026"
"170850","1035"
"170851","1036"
"170903","1287"
"171117","5333"
"171247","1032"
"171251","1040"
"171266","1078"
"171278","1106"
"171284","1116"
"171321","2011"
"171330","2033"
"171477","5064"
"171496","5220"
"171506","5306"
"171532","5741"
"171686","9001"
"171697","9021"
"171706","9038"
"171714","9059"
"171719","9070"
"171726","9087"
"171727","9088"
"171956","15016"
"171975","15159"
"171980","15169"
"171994","15201"
"172006","15221"
"172175","1004"
"172179","1012"
"172184","1125"
"172189","1138"
"172231","2043"
"172232","2044"
"172343","4593"
"172388","5098"
"172409","5140"
"172423","16076"
"172424","16077"
"172425","16078"
"172426","16079"
"172427","16084"
"172436","16101"
"172437","16102"
"172443","16113"
"172448","16126"
"172453","16136"
"172482","17008"
"172489","17024"
"172533","17201"
"172544","17225"
"172599","17335"
"172603","17344"
"172650","17437"
"173033","9111"
"173044","9139"
"173414","1009"
"173420","1019"
"173424","1129"
"173468","2047"
"173692","15086"
"173704","15111"
"173718","15241"
"173794","16338"
"173798","16353"
"173799","16357"
"173802","16372"
"173806","16390"
"173847","17148"
"173944","9040"
"173946","9042"
"173953","9062"
"173963","9083"
"174034","23570"
"174197","15029"
"174198","15034"
"174201","15037"
"174202","15137"
"174209","15148"
"174212","15155"
"174217","15165"
"174233","15197"
"174249","15230"
"174259","16083"
"174271","16109"
"174272","16114"
"174281","16133"
"174282","16134"
"174283","16135"
"174312","17012"
"174346","17179"
"174355","17196"
"174427","17340"
"174491","5661"
"174683","9132"
"174687","9144"
"174880","17425"
"175085","17165"
"175131","15071"
"175135","15080"
"175140","15089"
"175158","15126"
"175166","15235"
"175177","15262"
"175180","15271"
"175200","16043"
"175210","16067"
"175211","16068"
"175237","16315"
"175242","16333"
"175249","16350"
"175252","16363"
"175254","16370"
"175257","16386"
"175304","17169"
