filename,title,youtube_id,category,confidence_basis,reason,cospeakers,topics,char_count,word_count
#1 Absolute Best Way To Lower Blood Pressure In Minutes-TKMxw-cXSWU.en.vtt,#1 Absolute Best Way To Lower Blood Pressure In Minutes,TKMxw-cXSWU,Exclude,content-peek,Other speaker cues: ['Sten-Ekberg'],Sten-Ekberg,cardiovascular; muscles; hormones/reproductive,44078,6672
(Dr. Wallach)Dr. Schrauzer-power of Selenium ⧸Youngevity-wExr4eTCwBQ.en.vtt,(Dr. Wallach)Dr. Schrauzer-power of Selenium ⧸Youngevity,wExr4eTCwBQ,Moderate,filename,Wallach with co-speaker,Dr. Schrauzer,minerals; selenium; cancer; diet/nutrition; youngevity-product,49749,8862
"1 Drop...Cleanses Lungs, Reduces Mucus & Improves Airflow!  Dr. Mandell-VVrdiJ75K28.en.vtt","1 Drop...Cleanses Lungs, Reduces Mucus & Improves Airflow!  Dr. Mandell",VVrdiJ75K28,Exclude,filename,Primary speaker: Dr. Mandell,Dr. Mandell,minerals; lung/respiratory; skin/hair; sleep,3568,653
1.6.26 Revisit： Dr. Wallach’s Wonderful Wellness Solutions for Brain and Spinal Issues. DWD 10⧸17⧸24-LctpiFqsivc.en.vtt,1.6.26 Revisit： Dr. Wallach’s Wonderful Wellness Solutions for Brain and Spinal Issues. DWD 10⧸17⧸24,LctpiFqsivc,High,filename,Wallach named in title,,diet/nutrition; brain/cognitive; longevity,64254,11763
1.8.26 Revisit; Dr. Joel Wallach Decodes： Is Spinal Stenosis Stealing Your Mobility？ DWD 5⧸01⧸25-gvpNVZ7MIT0.en.vtt,1.8.26 Revisit; Dr. Joel Wallach Decodes： Is Spinal Stenosis Stealing Your Mobility？ DWD 5⧸01⧸25,gvpNVZ7MIT0,High,filename,Wallach named in title,,,63686,11828
1.8.26 Revisit; Dr. Joel Wallach Decodes： Is Spinal Stenosis Stealing Your Mobility？ DWD 5⧸01⧸25-hDpoE7h4_u0.en.vtt,1.8.26 Revisit; Dr. Joel Wallach Decodes： Is Spinal Stenosis Stealing Your Mobility？ DWD 5⧸01⧸25,hDpoE7h4_u0,High,filename,Wallach named in title,,diet/nutrition; skin/hair,72530,13077
11.19.25 We Revisit： Dr. Joel Wallach： Sweeten the Season Not Your Blood Sugar DWD 12⧸5⧸24-TXDNv3Shknw.en.vtt,11.19.25 We Revisit： Dr. Joel Wallach： Sweeten the Season Not Your Blood Sugar DWD 12⧸5⧸24,TXDNv3Shknw,High,filename,Wallach named in title,,diet/nutrition,64578,11960
11⧸11⧸25 DWD Revisit  ❕❗️Dr. Joel Wallach - Veterans Day Special - Ask Doc Live 11⧸11⧸2022-nWu9PnFSS4s.en.vtt,11⧸11⧸25 DWD Revisit  ❕❗️Dr. Joel Wallach - Veterans Day Special - Ask Doc Live 11⧸11⧸2022,nWu9PnFSS4s,High,filename,Wallach named in title,,diet/nutrition; longevity,95594,17852
11⧸18⧸25 Revisit： Dr. Joel Wallach： How can nutrition impact the progression of Parkinson's disease？-DQbe9aVi8Ys.en.vtt,11⧸18⧸25 Revisit： Dr. Joel Wallach： How can nutrition impact the progression of Parkinson's disease？,DQbe9aVi8Ys,High,filename,Wallach named in title,,cardiovascular; parkinsons; diet/nutrition,55384,10252
11⧸20⧸25 Revisit： Dr. Joel Wallach - Is Bone Marrow affected by joint replacement - DWD 9⧸20⧸23-e4PQQuv-bN0.en.vtt,11⧸20⧸25 Revisit： Dr. Joel Wallach - Is Bone Marrow affected by joint replacement - DWD 9⧸20⧸23,e4PQQuv-bN0,High,filename,Wallach named in title,,cardiovascular; diet/nutrition; bones/joints; brain/cognitive,45758,8511
11⧸25⧸25 Revisit： Dr. Joel Wallach - Masking skin issues the unhealthy way -DWD 9⧸21⧸23-zuTu4VLrR_0.en.vtt,11⧸25⧸25 Revisit： Dr. Joel Wallach - Masking skin issues the unhealthy way -DWD 9⧸21⧸23,zuTu4VLrR_0,High,filename,Wallach named in title,,diet/nutrition; skin/hair,47083,8809
1998-11-23 Dr Wallach on Health and Minerals part 1-56H-OUFYD0E.en.vtt,1998-11-23 Dr Wallach on Health and Minerals part 1,56H-OUFYD0E,High,filename,Wallach named in title,,minerals; diet/nutrition,53383,9967
"1⧸1⧸26 Revisit： Dr. Joel Wallach  Cholesterol; The Good, The Bad & What's the Difference  DWD 3⧸2⧸23-QKYNyqClDX8.en.vtt","1⧸1⧸26 Revisit： Dr. Joel Wallach  Cholesterol; The Good, The Bad & What's the Difference  DWD 3⧸2⧸23",QKYNyqClDX8,High,filename,Wallach named in title,,cholesterol; diet/nutrition; anti-mainstream,47370,8725
2-Minute Neuroscience： Pineal Gland-R0VPDd0JwCE.en.vtt,2-Minute Neuroscience： Pineal Gland,R0VPDd0JwCE,Exclude,filename,Primary speaker: 2-Minute Neuroscience,2-Minute Neuroscience,sleep; brain/cognitive; hormones/reproductive,1993,327
2019 Better Health Challenge Finalists-yDlElYbEdnE.en.vtt,2019 Better Health Challenge Finalists,yDlElYbEdnE,Low,filename,No speaker cue in title,,obesity,1446,298
"2⧸13⧸24 We Revisit Dr. Joel Wallach Good Circulation, Oxygen, and Nutrients! - DailywithDoc 4⧸7⧸23-Mt6k2zEYzTE.en.vtt","2⧸13⧸24 We Revisit Dr. Joel Wallach Good Circulation, Oxygen, and Nutrients! - DailywithDoc 4⧸7⧸23",Mt6k2zEYzTE,High,filename,Wallach named in title,,diet/nutrition,50551,9856
3 Adrenal Fatigue Tips #shorts-vPDEsi81OqI.en.vtt,3 Adrenal Fatigue Tips #shorts,vPDEsi81OqI,Low,filename,No speaker cue in title,,kidney; cholesterol; energy/fatigue; pregnancy/birth; hormones/reproductive,1025,178
3 Dr Peter Glidden caller rheumatiod arthritis-oext_wRQHgU.en.vtt,3 Dr Peter Glidden caller rheumatiod arthritis,oext_wRQHgU,Exclude,filename,Primary speaker: Dr. Peter Glidden,Dr. Peter Glidden,obesity; arthritis; diet/nutrition; bones/joints; energy/fatigue; longevity; lecture-flagship,3655,676
4⧸14⧸26 Revisit Dr. Joel Wallach - Blood Sugar Issues - Daily with Doc & Becca 2⧸8⧸24-IWhkKULXnVo.en.vtt,4⧸14⧸26 Revisit Dr. Joel Wallach - Blood Sugar Issues - Daily with Doc & Becca 2⧸8⧸24,IWhkKULXnVo,High,filename,Wallach named in title,,diabetes; arthritis; bones/joints; pregnancy/birth,41294,7756
4⧸14⧸26 Revisit Dr. Joel Wallach - Blood Sugar Issues - Daily with Doc & Becca 2⧸8⧸24-c-p0mmq2Ssw.en.vtt,4⧸14⧸26 Revisit Dr. Joel Wallach - Blood Sugar Issues - Daily with Doc & Becca 2⧸8⧸24,c-p0mmq2Ssw,High,filename,Wallach named in title,,diabetes; arthritis; bones/joints; pregnancy/birth,41590,7786
5 Dr Peter Glidden caller hyperthyroidism-lQz6b5qPbp4.en.vtt,5 Dr Peter Glidden caller hyperthyroidism,lQz6b5qPbp4,Exclude,filename,Primary speaker: Dr. Peter Glidden,Dr. Peter Glidden,selenium; copper; iodine; obesity; thyroid; diet/nutrition; salt; hormones/reproductive; youngevity-product; lecture-flagship,6089,1149
5 TYPES OF DEMENTIA - DR. JOEL WALLACH-aIj0VrJlSG8.en.vtt,5 TYPES OF DEMENTIA - DR. JOEL WALLACH,aIj0VrJlSG8,High,filename,Wallach named in title,,obesity; alzheimers; dementia; cardiovascular; kidney; cholesterol; diet/nutrition; gluten; brain/cognitive; longevity; lecture-flagship; anti-mainstream,5574,999
9 20 17 Maintaining a Healthy Lifestyle wDr  Joel Wallach-hb_-3FDg4gk.en.vtt,9 20 17 Maintaining a Healthy Lifestyle wDr  Joel Wallach,hb_-3FDg4gk,High,filename,Wallach named in title,,alzheimers; cardiovascular; cholesterol; diet/nutrition,28296,5187
90 For Life Interview With Dr. Wallach-2LL5IWRusFE.en.vtt,90 For Life Interview With Dr. Wallach,2LL5IWRusFE,High,filename,Wallach named in title,,minerals; cardiovascular; diet/nutrition; youngevity-product; lecture-flagship,31916,5741
9⧸16⧸25 Revisit： Dr. Joel Wallach - Risk Factors of Dementia in Kids - DWD 1⧸10⧸24-pEDBe25MVNk.en.vtt,9⧸16⧸25 Revisit： Dr. Joel Wallach - Risk Factors of Dementia in Kids - DWD 1⧸10⧸24,pEDBe25MVNk,High,filename,Wallach named in title,,dementia; diet/nutrition,47262,8783
"A Day With Dr. Wallach - Animal Nutrition, Human Diseases, A Lifetime in Healing.-B2oJU90JIkE.en.vtt","A Day With Dr. Wallach - Animal Nutrition, Human Diseases, A Lifetime in Healing.",B2oJU90JIkE,High,filename,Wallach named in title,,cancer; liver; diet/nutrition; gluten; skin/hair,107611,20172
"A Longer, Healthier Life - Dr. Joel Wallach-z_lZWVTS1LI.en.vtt","A Longer, Healthier Life - Dr. Joel Wallach",z_lZWVTS1LI,High,filename,Wallach named in title,,minerals; selenium; copper; calcium; magnesium; zinc; cardiovascular; liver; bones/joints; longevity,46648,8344
ACID REFLUX - DR. JOEL WALLACH-kNlby5-kafA.en.vtt,ACID REFLUX - DR. JOEL WALLACH,kNlby5-kafA,High,filename,Wallach named in title,,diabetes; arthritis; diet/nutrition; gluten; salt; skin/hair,2403,474
ALCOHOLISM - DR. JOEL WALLACH-SLG6as2Xi1s.en.vtt,ALCOHOLISM - DR. JOEL WALLACH,SLG6as2Xi1s,High,filename,Wallach named in title,,minerals; cardiovascular; diet/nutrition; skin/hair; brain/cognitive,3835,733
ALZHEIMER'S DISEASE BY DR. JOEL WALLACH-DzVP0dcIMvc.en.vtt,ALZHEIMER'S DISEASE BY DR. JOEL WALLACH,DzVP0dcIMvc,High,filename,Wallach named in title,,obesity; alzheimers; dementia; cholesterol; diet/nutrition; brain/cognitive; longevity; youngevity-product,8493,1553
ALZHEIMERS DISEASE - DR. JOEL WALLACH-0CFUEXKwypg.en.vtt,ALZHEIMERS DISEASE - DR. JOEL WALLACH,0CFUEXKwypg,High,filename,Wallach named in title,,minerals; diabetes; obesity; alzheimers; dementia; cholesterol; diet/nutrition; brain/cognitive; longevity,1370,232
ALZHEIMERS PREVENTION - DR. JOEL WALLACH-K3Rsk-BroMQ.en.vtt,ALZHEIMERS PREVENTION - DR. JOEL WALLACH,K3Rsk-BroMQ,High,filename,Wallach named in title,,minerals; diabetes; obesity; alzheimers; kidney; liver; cholesterol; diet/nutrition; skin/hair; bones/joints; muscles; energy/fatigue; brain/cognitive; longevity,6610,1168
ANDY & KARLI SCOTT： A Parent's Worst Nightmare： Life Threatening Aplastic Anemia DWD 5⧸22⧸26-vO8Kd0_dCcM.en.vtt,ANDY & KARLI SCOTT： A Parent's Worst Nightmare： Life Threatening Aplastic Anemia DWD 5⧸22⧸26,vO8Kd0_dCcM,Moderate,content-peek,Wallach cues (2),,diet/nutrition; anti-mainstream,101058,18938
ATRIAL FIBRILLATION - DR. JOEL WALLACH-ZKHY6VbPsJI.en.vtt,ATRIAL FIBRILLATION - DR. JOEL WALLACH,ZKHY6VbPsJI,High,filename,Wallach named in title,,diabetes; arthritis; alzheimers; dementia; cardiovascular; liver; cholesterol; diet/nutrition; gluten; brain/cognitive,4894,908
AUTISM AND ADHD DISEASE BY DR. JOEL WALLACH-_YhS9EhQ0dw.en.vtt,AUTISM AND ADHD DISEASE BY DR. JOEL WALLACH,_YhS9EhQ0dw,High,filename,Wallach named in title,,selenium; diabetes; obesity; arthritis; dementia; cardiovascular; autism/adhd; diet/nutrition; gluten; brain/cognitive,4617,866
AUTISM SERIAL KILLERS - DR LOEL WALLACH-4j3593NJqWc.en.vtt,AUTISM SERIAL KILLERS - DR LOEL WALLACH,4j3593NJqWc,High,filename,Wallach named in title,,minerals; obesity; autism/adhd; diet/nutrition; gluten; energy/fatigue; brain/cognitive; pregnancy/birth; youngevity-product,3378,651
AUTISTIC SON - DR. JOEL WALLACH-xq8oTf86DS4.en.vtt,AUTISTIC SON - DR. JOEL WALLACH,xq8oTf86DS4,High,filename,Wallach named in title,,obesity; autism/adhd; diet/nutrition; gluten; sleep; brain/cognitive,2821,563
Adrienne Gold：  Are Toxins What’s Holding You Back & Keeping You Stuck？ DWD 05⧸14⧸26-QudwZypwd2g.en.vtt,Adrienne Gold：  Are Toxins What’s Holding You Back & Keeping You Stuck？ DWD 05⧸14⧸26,QudwZypwd2g,Moderate,content-peek,Wallach cues (1),,obesity; energy/fatigue; brain/cognitive,41504,7791
Alzheimer's & Menopause ｜ Dr. Joel Wallach #alzheimers #alzheimersawareness-eMBv9wwDmAw.en.vtt,Alzheimer's & Menopause ｜ Dr. Joel Wallach #alzheimers #alzheimersawareness,eMBv9wwDmAw,High,filename,Wallach named in title,,obesity; alzheimers; dementia; cardiovascular; kidney; cholesterol; diet/nutrition; muscles; brain/cognitive; longevity; youngevity-product,2844,489
Amazing Lecture and Q&A Full - Dr. Joel Wallach - Dead Doctors Don't Lie 2013-GDgyB9tAiWQ.en.vtt,Amazing Lecture and Q&A Full - Dr. Joel Wallach - Dead Doctors Don't Lie 2013,GDgyB9tAiWQ,High,filename,Wallach named in title,,diet/nutrition; longevity; lecture-flagship,192592,36261
Arthritis - Learn what Dr. Joel Wallach Recommends-o7jtVW8zh_g.en.vtt,Arthritis - Learn what Dr. Joel Wallach Recommends,o7jtVW8zh_g,High,filename,Wallach named in title,,minerals; arthritis; osteoporosis; bones/joints,1135,193
"Ask Dr. Joel Wallach A Question! Join Us, LIVE! 08-22-23-e3ti72z-YTM.en.vtt","Ask Dr. Joel Wallach A Question! Join Us, LIVE! 08-22-23",e3ti72z-YTM,High,filename,Wallach named in title,,diet/nutrition; pregnancy/birth,46460,8868
Ask-A-Doc LIVE stream on BreastCancer with Dr. Tlemcani ｜ OncoPower-TInsZOF0gqI.en.vtt,Ask-A-Doc LIVE stream on BreastCancer with Dr. Tlemcani ｜ OncoPower,TInsZOF0gqI,Low,filename,No speaker cue in title,,cancer; lung/respiratory,46036,8340
Autoimmune Conditions  Why Your Body Attacks Itself  Learn Now!-n8-gmfydHvA.en.vtt,Autoimmune Conditions  Why Your Body Attacks Itself  Learn Now!,n8-gmfydHvA,Low,filename,No speaker cue in title,,thyroid; bones/joints; brain/cognitive,2297,394
BIRTH DEFECT - REASON WHY CHILDREN ARE BORN WITH DEFECT BY DR. JOEL WALLACH-8xoawbjSqtA.en.vtt,BIRTH DEFECT - REASON WHY CHILDREN ARE BORN WITH DEFECT BY DR. JOEL WALLACH,8xoawbjSqtA,High,filename,Wallach named in title,,minerals; diet/nutrition; bones/joints; longevity; pregnancy/birth,1294,226
BLADDER AND KIDNEY ISSUES LIVE DR JOEL WALLACH 05⧸10⧸23-0xdl8FO70hw.en.vtt,BLADDER AND KIDNEY ISSUES LIVE DR JOEL WALLACH 05⧸10⧸23,0xdl8FO70hw,High,filename,Wallach named in title,,minerals; arthritis; osteoporosis; cardiovascular; kidney; bladder; diet/nutrition; skin/hair; bones/joints; brain/cognitive,26441,5156
BODY ODOR - DR. JOEL WALLACH-Bz6D6_8wVZ8.en.vtt,BODY ODOR - DR. JOEL WALLACH,Bz6D6_8wVZ8,High,filename,Wallach named in title,,obesity; diet/nutrition; gluten; skin/hair,2682,512
BONE AND JOINT DISEASE BY DR. JOEL WALLACH-HUjcsNJjeJE.en.vtt,BONE AND JOINT DISEASE BY DR. JOEL WALLACH,HUjcsNJjeJE,High,filename,Wallach named in title,,minerals; diabetes; arthritis; osteoporosis; cancer; cardiovascular; diet/nutrition; bones/joints; youngevity-product,5876,1106
BONE AND JOINT REPLACEMENT - DR. JOEL WALLACH-NmQg2pCgo0c.en.vtt,BONE AND JOINT REPLACEMENT - DR. JOEL WALLACH,NmQg2pCgo0c,High,filename,Wallach named in title,,minerals; calcium; obesity; arthritis; diet/nutrition; bones/joints; energy/fatigue,6161,1116
BONE ARTHRITIS - DR. JOEL WALLACH-nGdYjRqCjCw.en.vtt,BONE ARTHRITIS - DR. JOEL WALLACH,nGdYjRqCjCw,High,filename,Wallach named in title,,arthritis; skin/hair; bones/joints; longevity,1827,349
BOWEL CANCER - DR. JOEL WALLACH-ej43t82XMVE.en.vtt,BOWEL CANCER - DR. JOEL WALLACH,ej43t82XMVE,High,filename,Wallach named in title,,obesity; cancer; cardiovascular; gallbladder; diet/nutrition; gluten; lung/respiratory; skin/hair; brain/cognitive,3660,729
BURSITIS - DR. JOEL WALLACH-HU-FaDAo9pw.en.vtt,BURSITIS - DR. JOEL WALLACH,HU-FaDAo9pw,High,filename,Wallach named in title,,obesity; diet/nutrition; gluten; bones/joints,2163,424
